 (10, 21.594),
 (10, 24.743),
 (10, 26.939),
 (10, 23.658),
 (20, 56.47),
 (20, 54.079),
 (20, 62.485),
 (20, 57.65),
 (40, 127.845),
 (40, 116.901),
 (40, 118.263),
 (40, 124.993),
 (80, 256.04),
 (80, 259.785),
 (80, 244.494),
 (80, 266.168),
 (100, 356.468),
 (100, 310.002),
 (100, 334.637),
 (100, 316.514),
 (200, 680.835),
 (200, 685.122),
 (200, 705.521),
 (200, 708.363),
 (400, 1480.428),
 (400, 1387.656),
 (400, 1420.966),
 (400, 1431.684),
 (800, 3443.798),
 (800, 3268.283),
 (800, 3098.888),
 (800, 3192.392),
 (1000, 3985.803),
 (1000, 4002.1),
 (1000, 4692.345),
 (1000, 4076.016),
 (2000, 9582.072),
 (2000, 10067.37),
 (2000, 9200.151),
 (2000, 10193.205),
 (4000, 21110.791),
 (4000, 22657.986),
 (4000, 20584.149),
 (4000, 21306.157),
 (8000, 46321.85),
 (8000, 48084.12),
 (8000, 46261.312),
 (8000, 46552.588),
 (10000, 57662.438),
 (10000, 61411.044),
 (10000, 61091.825),
 (10000, 59191.947),
 (20000, 140958.958),
 (20000, 137279.298),
 (20000, 146733.406),
 (20000, 129477.657),
 (40000, 285932.584),
 (40000, 279901.341),
 (40000, 280360.969),
 (40000, 280687.407),
 (80000, 625405.7),
 (80000, 613919.52),
 (80000, 612205.395),
 (80000, 629560.388),
 (100000, 816266.817),
 (100000, 812035.051),
 (100000, 809888.355),
 (100000, 801189.29)
