 (10, 36.745),
 (10, 31.852),
 (10, 26.823),
 (10, 22.196),
 (20, 53.143),
 (20, 47.957),
 (20, 53.363),
 (20, 54.791),
 (40, 128.459),
 (40, 104.008),
 (40, 204.847),
 (40, 106.221),
 (80, 236.317),
 (80, 236.14),
 (80, 217.308),
 (80, 237.772),
 (100, 286.095),
 (100, 289.976),
 (100, 293.442),
 (100, 275.533),
 (200, 563.795),
 (200, 1184.213),
 (200, 598.863),
 (200, 577.582),
 (400, 1214.024),
 (400, 1185.234),
 (400, 1207.689),
 (400, 1146.573),
 (800, 2399.502),
 (800, 2647.814),
 (800, 2390.698),
 (800, 2441.137),
 (1000, 2907.879),
 (1000, 2970.206),
 (1000, 3004.845),
 (1000, 3064.399),
 (2000, 6623.715),
 (2000, 7671.003),
 (2000, 6290.513),
 (2000, 6406.52),
 (4000, 13275.385),
 (4000, 13245.749),
 (4000, 13066.505),
 (4000, 12673.954),
 (8000, 30627.415),
 (8000, 32150.786),
 (8000, 28919.035),
 (8000, 28462.084),
 (10000, 39904.374),
 (10000, 40326.317),
 (10000, 39238.08),
 (10000, 41106.496),
 (20000, 87122.538),
 (20000, 85601.213),
 (20000, 83619.183),
 (20000, 94809.19),
 (40000, 186253.374),
 (40000, 189046.857),
 (40000, 185409.399),
 (40000, 185642.761),
 (80000, 410152.122),
 (80000, 437302.342),
 (80000, 415764.135),
 (80000, 436760.316),
 (100000, 528077.806),
 (100000, 568040.306),
 (100000, 540131.605),
 (100000, 567273.582)
